Pi,AF0,AF1,AF2,AF3
P0_0,GPIO,SPI0_MISO,TIM32A1_1,
P0_1,GPIO,SPI0_MOSI,TIM32A1_2,
P0_2,GPIO,SPI0_CLK,TIM32A1_3,ADC_2
P0_3,GPIO,SPI0_CSIN,TIM32A1_4,
P0_4,GPIO,SPI0_CSOUT_0,TIM32A1_5,ADC_3
P0_5,GPIO,UART0_RX,TIM16A0_IN_1,
P0_6,GPIO,UART0_TX,TIM16A0_IN_2,
P0_7,GPIO,UART0_CTS,TIM16A0_OUT,ADC_4
P0_8,GPIO,UART0_RTS,TIM16A1_IN_1,
P0_9,GPIO,I2C0_SDA,TIM16A1_IN_2,ADC_5
P0_10,GPIO,I2C0_SCL,TIM16A1_OUT,
P0_11,GPIO,JTAG_TDI,TIM16A2_IN_1,ADC_6
P0_12,GPIO,JTAG_TCK,TIM16A2_IN_2,
P0_13,GPIO,JTAG_TMS,TIM16A2_OUT,ADC_7
P0_14,GPIO,JTAG_NTRST,,
P0_15,GPIO,JTAG_TDO,,
P1_0,GPIO,SPI1_MISO,TIM32A2_IO1,
P1_1,GPIO,SPI1_MOSI,TIM32A2_IO2,
P1_2,GPIO,SPI2_CLK,TIM32A2_IO3,
P1_3,GPIO,SPI2_CSIN,TIM32A2_IO4,
P1_4,GPIO,SPI2_CSOUT_0,TIM32A1_CLK,
P1_5,GPIO,SPI2_CSOUT_1,UART0_CK,ADC_0
P1_6,GPIO,SPI2_CSOUT_2,,
P1_7,GPIO,SPI2_CSOUT_3,,ADC_1
P1_8,GPIO,UART1_RX,,
P1_9,GPIO,UART1_TX,,
P1_10,GPIO,UART1_CTS,,
P1_11,GPIO,UART1_RTS,,
P1_12,GPIO,I2C1_SDA,UART0_DTR,DAC_0
P1_13,GPIO,I2C1_SCL,UART0_DCD,DAC_1
P1_14,GPIO,SPI0_CSOUT_1,UART0_DSR,
P1_15,GPIO,SPI0_CSOUT_2,UART0_RI,
P2_0,GPIO,SPIFI_CLK,UART1_DTR,
P2_1,GPIO,SPIFI_CS,UART1_DCD,
P2_2,GPIO,SPIFI_DATA_0,UART1_DSR,
P2_3,GPIO,SPIFI_DATA_1,UART1_RI,
P2_4,GPIO,SPIFI_DATA_2,,
P2_5,GPIO,SPIFI_DATA_3,,
P2_6,GPIO,SPI0_CSOUT_3,UART1_CK,
P2_7,GPIO,SPI2_CSOUT_3,,
